================ Training Loss (Mon Oct 28 20:35:20 2019) ================
================ Training Loss (Mon Oct 28 20:46:32 2019) ================
================ Training Loss (Mon Oct 28 20:56:18 2019) ================
================ Training Loss (Mon Oct 28 21:00:23 2019) ================
================ Training Loss (Mon Oct 28 21:01:17 2019) ================
================ Training Loss (Mon Oct 28 21:02:16 2019) ================
================ Training Loss (Mon Oct 28 21:03:04 2019) ================
================ Training Loss (Mon Oct 28 21:04:14 2019) ================
================ Training Loss (Mon Oct 28 21:06:22 2019) ================
================ Training Loss (Mon Oct 28 21:16:33 2019) ================
================ Training Loss (Mon Oct 28 21:20:14 2019) ================
================ Training Loss (Mon Oct 28 21:24:07 2019) ================
================ Training Loss (Mon Oct 28 21:24:52 2019) ================
================ Training Loss (Mon Oct 28 21:30:10 2019) ================
================ Training Loss (Mon Oct 28 21:31:46 2019) ================
================ Training Loss (Mon Oct 28 21:33:24 2019) ================
================ Training Loss (Tue Oct 29 09:16:59 2019) ================
================ Training Loss (Tue Oct 29 09:23:26 2019) ================
================ Training Loss (Tue Oct 29 09:23:45 2019) ================
   Avg Run Time (ms/batch): 2.813 AUC: 0.630 max AUC: 0.630
================ Training Loss (Tue Oct 29 09:26:47 2019) ================
================ Training Loss (Tue Oct 29 09:54:12 2019) ================
================ Training Loss (Tue Oct 29 09:59:22 2019) ================
================ Training Loss (Tue Oct 29 10:02:02 2019) ================
================ Training Loss (Tue Oct 29 10:03:06 2019) ================
================ Training Loss (Tue Oct 29 10:08:08 2019) ================
================ Training Loss (Tue Oct 29 10:09:44 2019) ================
================ Training Loss (Tue Oct 29 11:10:48 2019) ================
================ Training Loss (Tue Oct 29 11:11:23 2019) ================
================ Training Loss (Tue Oct 29 11:12:42 2019) ================
================ Training Loss (Tue Oct 29 11:13:17 2019) ================
================ Training Loss (Tue Oct 29 11:47:14 2019) ================
================ Training Loss (Tue Oct 29 11:55:41 2019) ================
================ Training Loss (Tue Oct 29 15:37:54 2019) ================
================ Training Loss (Tue Oct 29 15:38:53 2019) ================
================ Training Loss (Tue Oct 29 15:42:13 2019) ================
================ Training Loss (Tue Oct 29 16:00:37 2019) ================
================ Training Loss (Tue Oct 29 16:02:09 2019) ================
================ Training Loss (Tue Oct 29 16:03:45 2019) ================
================ Training Loss (Tue Oct 29 16:12:00 2019) ================
================ Training Loss (Tue Oct 29 16:24:51 2019) ================
================ Training Loss (Tue Oct 29 16:31:42 2019) ================
================ Training Loss (Tue Oct 29 16:35:07 2019) ================
================ Training Loss (Tue Oct 29 16:36:06 2019) ================
================ Training Loss (Tue Oct 29 16:36:59 2019) ================
================ Training Loss (Tue Oct 29 16:50:37 2019) ================
================ Training Loss (Tue Oct 29 16:57:55 2019) ================
================ Training Loss (Tue Oct 29 16:59:31 2019) ================
================ Training Loss (Tue Oct 29 17:01:01 2019) ================
   Avg Run Time (ms/batch): 2.893 AUC: 0.785 max AUC: 0.785
   Avg Run Time (ms/batch): 2.943 AUC: 0.907 max AUC: 0.907
   Avg Run Time (ms/batch): 2.842 AUC: 0.872 max AUC: 0.907
   Avg Run Time (ms/batch): 2.893 AUC: 0.871 max AUC: 0.907
   Avg Run Time (ms/batch): 2.943 AUC: 0.804 max AUC: 0.907
   Avg Run Time (ms/batch): 2.943 AUC: 0.937 max AUC: 0.937
   Avg Run Time (ms/batch): 2.843 AUC: 0.905 max AUC: 0.937
   Avg Run Time (ms/batch): 2.843 AUC: 0.909 max AUC: 0.937
   Avg Run Time (ms/batch): 2.873 AUC: 0.843 max AUC: 0.937
   Avg Run Time (ms/batch): 2.862 AUC: 0.883 max AUC: 0.937
   Avg Run Time (ms/batch): 2.873 AUC: 0.852 max AUC: 0.937
   Avg Run Time (ms/batch): 2.863 AUC: 0.936 max AUC: 0.937
   Avg Run Time (ms/batch): 2.832 AUC: 0.873 max AUC: 0.937
   Avg Run Time (ms/batch): 2.843 AUC: 0.895 max AUC: 0.937
   Avg Run Time (ms/batch): 2.853 AUC: 0.909 max AUC: 0.937
================ Training Loss (Wed Oct 30 11:14:34 2019) ================
   Avg Run Time (ms/batch): 2.923 AUC: 0.703 max AUC: 0.703
   Avg Run Time (ms/batch): 2.923 AUC: 0.332 max AUC: 0.703
   Avg Run Time (ms/batch): 2.913 AUC: 0.289 max AUC: 0.703
   Avg Run Time (ms/batch): 2.923 AUC: 0.287 max AUC: 0.703
   Avg Run Time (ms/batch): 2.903 AUC: 0.314 max AUC: 0.703
   Avg Run Time (ms/batch): 2.913 AUC: 0.340 max AUC: 0.703
   Avg Run Time (ms/batch): 2.923 AUC: 0.308 max AUC: 0.703
   Avg Run Time (ms/batch): 2.933 AUC: 0.770 max AUC: 0.770
   Avg Run Time (ms/batch): 2.893 AUC: 0.906 max AUC: 0.906
   Avg Run Time (ms/batch): 2.963 AUC: 0.782 max AUC: 0.906
   Avg Run Time (ms/batch): 2.933 AUC: 0.433 max AUC: 0.906
   Avg Run Time (ms/batch): 2.903 AUC: 0.732 max AUC: 0.906
   Avg Run Time (ms/batch): 2.923 AUC: 0.885 max AUC: 0.906
   Avg Run Time (ms/batch): 2.943 AUC: 0.955 max AUC: 0.955
   Avg Run Time (ms/batch): 2.923 AUC: 0.965 max AUC: 0.965
================ Training Loss (Wed Oct 30 14:24:35 2019) ================
   Avg Run Time (ms/batch): 2.893 AUC: 0.663 max AUC: 0.663
   Avg Run Time (ms/batch): 2.933 AUC: 0.741 max AUC: 0.741
   Avg Run Time (ms/batch): 2.932 AUC: 0.425 max AUC: 0.741
   Avg Run Time (ms/batch): 2.913 AUC: 0.550 max AUC: 0.741
   Avg Run Time (ms/batch): 2.893 AUC: 0.932 max AUC: 0.932
   Avg Run Time (ms/batch): 2.913 AUC: 0.988 max AUC: 0.988
   Avg Run Time (ms/batch): 2.933 AUC: 0.995 max AUC: 0.995
   Avg Run Time (ms/batch): 2.893 AUC: 0.994 max AUC: 0.995
   Avg Run Time (ms/batch): 2.913 AUC: 0.994 max AUC: 0.995
   Avg Run Time (ms/batch): 2.893 AUC: 0.993 max AUC: 0.995
   Avg Run Time (ms/batch): 2.903 AUC: 0.996 max AUC: 0.996
   Avg Run Time (ms/batch): 2.913 AUC: 0.995 max AUC: 0.996
   Avg Run Time (ms/batch): 2.933 AUC: 0.993 max AUC: 0.996
   Avg Run Time (ms/batch): 2.953 AUC: 0.991 max AUC: 0.996
   Avg Run Time (ms/batch): 2.893 AUC: 0.990 max AUC: 0.996
================ Training Loss (Wed Oct 30 15:41:35 2019) ================
   Avg Run Time (ms/batch): 2.893 AUC: 0.926 max AUC: 0.926
   Avg Run Time (ms/batch): 2.933 AUC: 0.694 max AUC: 0.926
   Avg Run Time (ms/batch): 2.916 AUC: 0.242 max AUC: 0.926
   Avg Run Time (ms/batch): 2.903 AUC: 0.316 max AUC: 0.926
   Avg Run Time (ms/batch): 2.908 AUC: 0.255 max AUC: 0.926
   Avg Run Time (ms/batch): 2.938 AUC: 0.309 max AUC: 0.926
   Avg Run Time (ms/batch): 2.963 AUC: 0.510 max AUC: 0.926
   Avg Run Time (ms/batch): 2.893 AUC: 0.983 max AUC: 0.983
   Avg Run Time (ms/batch): 2.913 AUC: 0.966 max AUC: 0.983
   Avg Run Time (ms/batch): 2.923 AUC: 0.975 max AUC: 0.983
   Avg Run Time (ms/batch): 2.923 AUC: 0.944 max AUC: 0.983
   Avg Run Time (ms/batch): 2.943 AUC: 0.958 max AUC: 0.983
   Avg Run Time (ms/batch): 2.933 AUC: 0.896 max AUC: 0.983
   Avg Run Time (ms/batch): 2.923 AUC: 0.864 max AUC: 0.983
   Avg Run Time (ms/batch): 2.953 AUC: 0.853 max AUC: 0.983
================ Training Loss (Wed Oct 30 16:12:42 2019) ================
   Avg Run Time (ms/batch): 2.885 AUC: 0.485 max AUC: 0.485
   Avg Run Time (ms/batch): 2.953 AUC: 0.009 max AUC: 0.485
   Avg Run Time (ms/batch): 2.913 AUC: 0.040 max AUC: 0.485
   Avg Run Time (ms/batch): 2.963 AUC: 0.015 max AUC: 0.485
   Avg Run Time (ms/batch): 2.933 AUC: 0.040 max AUC: 0.485
   Avg Run Time (ms/batch): 2.873 AUC: 0.030 max AUC: 0.485
   Avg Run Time (ms/batch): 2.953 AUC: 0.060 max AUC: 0.485
   Avg Run Time (ms/batch): 2.903 AUC: 0.075 max AUC: 0.485
   Avg Run Time (ms/batch): 2.863 AUC: 0.040 max AUC: 0.485
   Avg Run Time (ms/batch): 2.888 AUC: 0.045 max AUC: 0.485
   Avg Run Time (ms/batch): 2.928 AUC: 0.005 max AUC: 0.485
   Avg Run Time (ms/batch): 2.893 AUC: 0.056 max AUC: 0.485
   Avg Run Time (ms/batch): 2.923 AUC: 0.082 max AUC: 0.485
   Avg Run Time (ms/batch): 2.882 AUC: 0.017 max AUC: 0.485
   Avg Run Time (ms/batch): 2.913 AUC: 0.073 max AUC: 0.485
================ Training Loss (Wed Oct 30 17:04:34 2019) ================
   Avg Run Time (ms/batch): 2.903 AUC: 0.821 max AUC: 0.821
   Avg Run Time (ms/batch): 2.873 AUC: 0.951 max AUC: 0.951
   Avg Run Time (ms/batch): 2.933 AUC: 0.989 max AUC: 0.989
   Avg Run Time (ms/batch): 2.903 AUC: 0.972 max AUC: 0.989
   Avg Run Time (ms/batch): 2.933 AUC: 0.948 max AUC: 0.989
   Avg Run Time (ms/batch): 2.882 AUC: 0.988 max AUC: 0.989
   Avg Run Time (ms/batch): 2.922 AUC: 0.981 max AUC: 0.989
   Avg Run Time (ms/batch): 2.903 AUC: 0.957 max AUC: 0.989
